identifier	universe	class_name	accession	pfam_accession	model_name
confirmatory::O74205	confirmatory	negative	O74205	PF12796.12	Ank_2
confirmatory::O74205	confirmatory	negative	O74205	PF13637.11	Ank_4
confirmatory::O74205	confirmatory	negative	O74205	PF13637.11	Ank_4
confirmatory::O74430	confirmatory	negative	O74430	PF00561.25	Abhydrolase_1
confirmatory::O74430	confirmatory	negative	O74430	PF04083.21	Abhydro_lipase
confirmatory::O74789	confirmatory	negative	O74789	PF00149.33	Metallophos
confirmatory::O75351	confirmatory	negative	O75351	PF00004.34	AAA
confirmatory::O75351	confirmatory	negative	O75351	PF04212.23	MIT
confirmatory::O75351	confirmatory	negative	O75351	PF06068.18	TIP49
confirmatory::O75351	confirmatory	negative	O75351	PF07728.19	AAA_5
confirmatory::O75351	confirmatory	negative	O75351	PF09336.15	Vps4_C
confirmatory::O75351	confirmatory	negative	O75351	PF17862.6	AAA_lid_3
confirmatory::O75449	confirmatory	negative	O75449	PF00004.34	AAA
confirmatory::O75449	confirmatory	negative	O75449	PF09336.15	Vps4_C
confirmatory::O75449	confirmatory	negative	O75449	PF17862.6	AAA_lid_3
confirmatory::O75449	confirmatory	negative	O75449	PF21126.2	KATNA1_MIT
confirmatory::O75534	confirmatory	negative	O75534	PF00313.27	CSD
confirmatory::O75534	confirmatory	negative	O75534	PF00313.27	CSD
confirmatory::O75534	confirmatory	negative	O75534	PF00313.27	CSD
confirmatory::O75534	confirmatory	negative	O75534	PF00313.27	CSD
confirmatory::O75534	confirmatory	negative	O75534	PF00313.27	CSD
confirmatory::O75534	confirmatory	negative	O75534	PF12901.12	SUZ-C
confirmatory::O75832	confirmatory	negative	O75832	PF00023.35	Ank
confirmatory::O75832	confirmatory	negative	O75832	PF00023.35	Ank
confirmatory::O75832	confirmatory	negative	O75832	PF00023.35	Ank
confirmatory::O75832	confirmatory	negative	O75832	PF00023.35	Ank
confirmatory::O75832	confirmatory	negative	O75832	PF00023.35	Ank
confirmatory::O75832	confirmatory	negative	O75832	PF12796.12	Ank_2
confirmatory::O75832	confirmatory	negative	O75832	PF12796.12	Ank_2
confirmatory::O75832	confirmatory	negative	O75832	PF12796.12	Ank_2
confirmatory::O75832	confirmatory	negative	O75832	PF12796.12	Ank_2
confirmatory::O75832	confirmatory	negative	O75832	PF13606.11	Ank_3
confirmatory::O75832	confirmatory	negative	O75832	PF13606.11	Ank_3
confirmatory::O75832	confirmatory	negative	O75832	PF13606.11	Ank_3
confirmatory::O75832	confirmatory	negative	O75832	PF13606.11	Ank_3
confirmatory::O75832	confirmatory	negative	O75832	PF13637.11	Ank_4
confirmatory::O75832	confirmatory	negative	O75832	PF13637.11	Ank_4
confirmatory::O75832	confirmatory	negative	O75832	PF13637.11	Ank_4
confirmatory::O75832	confirmatory	negative	O75832	PF13637.11	Ank_4
confirmatory::O75832	confirmatory	negative	O75832	PF13637.11	Ank_4
confirmatory::O75832	confirmatory	negative	O75832	PF13857.11	Ank_5
confirmatory::O75832	confirmatory	negative	O75832	PF13857.11	Ank_5
confirmatory::O75832	confirmatory	negative	O75832	PF13857.11	Ank_5
confirmatory::O75832	confirmatory	negative	O75832	PF13857.11	Ank_5
confirmatory::O75891	confirmatory	negative	O75891	PF00171.27	Aldedh
confirmatory::O75891	confirmatory	negative	O75891	PF00550.30	PP-binding
confirmatory::O75891	confirmatory	negative	O75891	PF00551.24	Formyl_trans_N
confirmatory::O75891	confirmatory	negative	O75891	PF02911.23	Formyl_trans_C
confirmatory::O75900	confirmatory	negative	O75900	PF00413.29	Peptidase_M10
confirmatory::O75900	confirmatory	negative	O75900	PF01549.29	ShK
confirmatory::O76096	confirmatory	negative	O76096	PF00031.26	Cystatin
confirmatory::O76821	confirmatory	negative	O76821	PF00061.28	Lipocalin
confirmatory::O76932	confirmatory	negative	O76932	PF00149.33	Metallophos
confirmatory::O77656	confirmatory	negative	O77656	PF00045.24	Hemopexin
confirmatory::O77656	confirmatory	negative	O77656	PF00045.24	Hemopexin
confirmatory::O77656	confirmatory	negative	O77656	PF00045.24	Hemopexin
confirmatory::O77656	confirmatory	negative	O77656	PF00045.24	Hemopexin
confirmatory::O77656	confirmatory	negative	O77656	PF00413.29	Peptidase_M10
confirmatory::O77656	confirmatory	negative	O77656	PF01471.23	PG_binding_1
confirmatory::O77802	confirmatory	negative	O77802	PF00147.23	Fibrinogen_C
confirmatory::O77805	confirmatory	negative	O77805	PF00007.27	Cys_knot
confirmatory::O77835	confirmatory	negative	O77835	PF00007.27	Cys_knot
confirmatory::O80860	confirmatory	negative	O80860	PF00004.34	AAA
confirmatory::O80860	confirmatory	negative	O80860	PF01434.23	Peptidase_M41
confirmatory::O80860	confirmatory	negative	O80860	PF06480.20	FtsH_ext
confirmatory::O80860	confirmatory	negative	O80860	PF17862.6	AAA_lid_3
confirmatory::O80983	confirmatory	negative	O80983	PF00004.34	AAA
confirmatory::O80983	confirmatory	negative	O80983	PF01434.23	Peptidase_M41
confirmatory::O80983	confirmatory	negative	O80983	PF06068.18	TIP49
confirmatory::O80983	confirmatory	negative	O80983	PF07728.19	AAA_5
confirmatory::O80983	confirmatory	negative	O80983	PF17862.6	AAA_lid_3
confirmatory::O82711	confirmatory	negative	O82711	PF00197.23	Kunitz_legume
confirmatory::O82733	confirmatory	negative	O82733	PF00149.33	Metallophos
confirmatory::O82733	confirmatory	negative	O82733	PF16891.10	STPPase_N
confirmatory::O82734	confirmatory	negative	O82734	PF00149.33	Metallophos
confirmatory::O82734	confirmatory	negative	O82734	PF16891.10	STPPase_N
confirmatory::O82777	confirmatory	negative	O82777	PF00082.27	Peptidase_S8
confirmatory::O82777	confirmatory	negative	O82777	PF05922.21	Inhibitor_I9
confirmatory::O82777	confirmatory	negative	O82777	PF17766.6	fn3_6
confirmatory::O84467	confirmatory	negative	O84467	PF00149.33	Metallophos
confirmatory::O84616	confirmatory	positive	O84616	PF03070.21	TENA_THI-4
confirmatory::O84616	confirmatory	positive	O84616	PF14518.11	Haem_oxygenas_2
confirmatory::O86507	confirmatory	negative	O86507	PF00547.23	Urease_gamma
confirmatory::O86507	confirmatory	negative	O86507	PF00699.25	Urease_beta
confirmatory::O86508	confirmatory	negative	O86508	PF00449.25	Urease_alpha
confirmatory::O86508	confirmatory	negative	O86508	PF01979.25	Amidohydro_1
confirmatory::O87400	confirmatory	negative	O87400	PF00547.23	Urease_gamma
confirmatory::O88200	confirmatory	negative	O88200	PF00059.26	Lectin_C
confirmatory::O88310	confirmatory	negative	O88310	PF00147.23	Fibrinogen_C
confirmatory::O88354	confirmatory	negative	O88354	PF00151.24	Lipase
confirmatory::O88354	confirmatory	negative	O88354	PF01477.28	PLAT
confirmatory::O88516	confirmatory	negative	O88516	PF00008.32	EGF
confirmatory::O88516	confirmatory	negative	O88516	PF00008.32	EGF
confirmatory::O88516	confirmatory	negative	O88516	PF00008.32	EGF
confirmatory::O88516	confirmatory	negative	O88516	PF07657.18	MNNL
confirmatory::O88516	confirmatory	negative	O88516	PF12661.12	hEGF
confirmatory::O88516	confirmatory	negative	O88516	PF12661.12	hEGF
confirmatory::O88516	confirmatory	negative	O88516	PF12661.12	hEGF
confirmatory::O88516	confirmatory	negative	O88516	PF12661.12	hEGF
confirmatory::O88516	confirmatory	negative	O88516	PF12661.12	hEGF
confirmatory::O88671	confirmatory	negative	O88671	PF00008.32	EGF
confirmatory::O88671	confirmatory	negative	O88671	PF00008.32	EGF
confirmatory::O88671	confirmatory	negative	O88671	PF07657.18	MNNL
confirmatory::O88671	confirmatory	negative	O88671	PF12661.12	hEGF
confirmatory::O88671	confirmatory	negative	O88671	PF12661.12	hEGF
confirmatory::O88671	confirmatory	negative	O88671	PF12661.12	hEGF
confirmatory::O88671	confirmatory	negative	O88671	PF12661.12	hEGF
confirmatory::O88671	confirmatory	negative	O88671	PF12661.12	hEGF
confirmatory::O88676	confirmatory	negative	O88676	PF00413.29	Peptidase_M10
confirmatory::O88676	confirmatory	negative	O88676	PF01549.29	ShK
confirmatory::O88685	confirmatory	negative	O88685	PF00004.34	AAA
confirmatory::O88685	confirmatory	negative	O88685	PF07728.19	AAA_5
confirmatory::O88685	confirmatory	negative	O88685	PF16450.10	Prot_ATP_ID_OB_C
confirmatory::O88685	confirmatory	negative	O88685	PF17862.6	AAA_lid_3
confirmatory::O88713	confirmatory	negative	O88713	PF00059.26	Lectin_C
confirmatory::O88766	confirmatory	negative	O88766	PF00045.24	Hemopexin
confirmatory::O88766	confirmatory	negative	O88766	PF00045.24	Hemopexin
confirmatory::O88766	confirmatory	negative	O88766	PF00045.24	Hemopexin
confirmatory::O88766	confirmatory	negative	O88766	PF00045.24	Hemopexin
confirmatory::O88766	confirmatory	negative	O88766	PF00413.29	Peptidase_M10
confirmatory::O88766	confirmatory	negative	O88766	PF01471.23	PG_binding_1
confirmatory::O88967	confirmatory	negative	O88967	PF00004.34	AAA
confirmatory::O88967	confirmatory	negative	O88967	PF01434.23	Peptidase_M41
confirmatory::O88967	confirmatory	negative	O88967	PF17862.6	AAA_lid_3
confirmatory::O88969	confirmatory	negative	O88969	PF00031.26	Cystatin
confirmatory::O89023	confirmatory	negative	O89023	PF00082.27	Peptidase_S8
confirmatory::O89023	confirmatory	negative	O89023	PF09286.16	Pro-kuma_activ
confirmatory::O89098	confirmatory	negative	O89098	PF00031.26	Cystatin
confirmatory::O89103	confirmatory	negative	O89103	PF00008.32	EGF
confirmatory::O89103	confirmatory	negative	O89103	PF00059.26	Lectin_C
confirmatory::O89103	confirmatory	negative	O89103	PF07645.20	EGF_CA
confirmatory::O89103	confirmatory	negative	O89103	PF07645.20	EGF_CA
confirmatory::O89103	confirmatory	negative	O89103	PF07645.20	EGF_CA
confirmatory::O89103	confirmatory	negative	O89103	PF12662.12	cEGF
confirmatory::O89103	confirmatory	negative	O89103	PF12662.12	cEGF
confirmatory::O93390	confirmatory	negative	O93390	PF00050.26	Kazal_1
confirmatory::O93390	confirmatory	negative	O93390	PF07648.20	Kazal_2
confirmatory::O93390	confirmatory	negative	O93390	PF09289.15	FOLN
confirmatory::O93390	confirmatory	negative	O93390	PF10591.14	SPARC_Ca_bdg
confirmatory::O93470	confirmatory	negative	O93470	PF00045.24	Hemopexin
confirmatory::O93470	confirmatory	negative	O93470	PF00045.24	Hemopexin
confirmatory::O93470	confirmatory	negative	O93470	PF00413.29	Peptidase_M10
confirmatory::O93470	confirmatory	negative	O93470	PF01471.23	PG_binding_1
confirmatory::O94449	confirmatory	negative	O94449	PF00004.34	AAA
confirmatory::O94449	confirmatory	negative	O94449	PF08542.16	Rep_fac_C
confirmatory::O94449	confirmatory	negative	O94449	PF13177.11	DNA_pol3_delta2
confirmatory::O94493	confirmatory	negative	O94493	PF00135.33	COesterase
confirmatory::O95185	confirmatory	negative	O95185	PF00047.30	ig
confirmatory::O95185	confirmatory	negative	O95185	PF00090.24	TSP_1
confirmatory::O95185	confirmatory	negative	O95185	PF00090.24	TSP_1
confirmatory::O95185	confirmatory	negative	O95185	PF00531.27	Death
confirmatory::O95185	confirmatory	negative	O95185	PF00791.25	ZU5
confirmatory::O95185	confirmatory	negative	O95185	PF07679.21	I-set
confirmatory::O95185	confirmatory	negative	O95185	PF13927.11	Ig_3
confirmatory::O95185	confirmatory	negative	O95185	PF17217.8	UPA
confirmatory::O95388	confirmatory	negative	O95388	PF00007.27	Cys_knot
confirmatory::O95388	confirmatory	negative	O95388	PF00090.24	TSP_1
confirmatory::O95388	confirmatory	negative	O95388	PF00093.23	VWC
confirmatory::O95388	confirmatory	negative	O95388	PF00219.23	IGFBP
confirmatory::O95388	confirmatory	negative	O95388	PF19035.5	TSP1_CCN
confirmatory::O95389	confirmatory	negative	O95389	PF00007.27	Cys_knot
confirmatory::O95389	confirmatory	negative	O95389	PF00219.23	IGFBP
confirmatory::O95389	confirmatory	negative	O95389	PF19035.5	TSP1_CCN
confirmatory::O95841	confirmatory	negative	O95841	PF00147.23	Fibrinogen_C
confirmatory::O97788	confirmatory	negative	O97788	PF00061.28	Lipocalin
confirmatory::O97788	confirmatory	negative	O97788	PF14651.11	Lipocalin_7
confirmatory::O97862	confirmatory	negative	O97862	PF00031.26	Cystatin
confirmatory::O97921	confirmatory	negative	O97921	PF00061.28	Lipocalin
confirmatory::O97937	confirmatory	negative	O97937	PF00049.23	Insulin
confirmatory::P00588	confirmatory	positive	P00588	PF01324.24	Diphtheria_R
confirmatory::P00588	confirmatory	positive	P00588	PF02763.19	Diphtheria_C
confirmatory::P00588	confirmatory	positive	P00588	PF02764.19	Diphtheria_T
confirmatory::P00739	confirmatory	negative	P00739	PF00089.31	Trypsin
confirmatory::P00751	confirmatory	negative	P00751	PF00084.25	Sushi
confirmatory::P00751	confirmatory	negative	P00751	PF00084.25	Sushi
confirmatory::P00751	confirmatory	negative	P00751	PF00084.25	Sushi
confirmatory::P00751	confirmatory	negative	P00751	PF00089.31	Trypsin
confirmatory::P00751	confirmatory	negative	P00751	PF00092.33	VWA
confirmatory::P00751	confirmatory	negative	P00751	PF13519.11	VWA_2
confirmatory::P00781	confirmatory	negative	P00781	PF00082.27	Peptidase_S8
confirmatory::P01013	confirmatory	negative	P01013	PF00079.25	Serpin
confirmatory::P01015	confirmatory	negative	P01015	PF00079.25	Serpin
confirmatory::P01017	confirmatory	negative	P01017	PF00079.25	Serpin
confirmatory::P01019	confirmatory	negative	P01019	PF00079.25	Serpin
confirmatory::P01034	confirmatory	negative	P01034	PF00031.26	Cystatin
confirmatory::P01036	confirmatory	negative	P01036	PF00031.26	Cystatin
confirmatory::P01037	confirmatory	negative	P01037	PF00031.26	Cystatin
confirmatory::P01038	confirmatory	negative	P01038	PF00031.26	Cystatin
confirmatory::P01039	confirmatory	negative	P01039	PF00031.26	Cystatin
confirmatory::P01042	confirmatory	negative	P01042	PF00031.26	Cystatin
confirmatory::P01042	confirmatory	negative	P01042	PF00031.26	Cystatin
confirmatory::P01042	confirmatory	negative	P01042	PF00031.26	Cystatin
confirmatory::P01042	confirmatory	negative	P01042	PF00666.22	Cathelicidins
confirmatory::P01044	confirmatory	negative	P01044	PF00031.26	Cystatin
confirmatory::P01044	confirmatory	negative	P01044	PF00031.26	Cystatin
confirmatory::P01044	confirmatory	negative	P01044	PF00031.26	Cystatin
confirmatory::P01044	confirmatory	negative	P01044	PF00666.22	Cathelicidins
confirmatory::P01045	confirmatory	negative	P01045	PF00031.26	Cystatin
confirmatory::P01045	confirmatory	negative	P01045	PF00031.26	Cystatin
confirmatory::P01045	confirmatory	negative	P01045	PF00031.26	Cystatin
confirmatory::P01045	confirmatory	negative	P01045	PF00666.22	Cathelicidins
confirmatory::P01048	confirmatory	negative	P01048	PF00031.26	Cystatin
confirmatory::P01048	confirmatory	negative	P01048	PF00031.26	Cystatin
confirmatory::P01048	confirmatory	negative	P01048	PF00031.26	Cystatin
confirmatory::P01048	confirmatory	negative	P01048	PF00666.22	Cathelicidins
confirmatory::P01050	confirmatory	positive	P01050	PF00713.22	Hirudin
confirmatory::P01070	confirmatory	negative	P01070	PF00197.23	Kunitz_legume
confirmatory::P01071	confirmatory	negative	P01071	PF00197.23	Kunitz_legume
confirmatory::P01074	confirmatory	negative	P01074	PF00299.23	Squash
confirmatory::P01084	confirmatory	negative	P01084	PF00234.27	Tryp_alpha_amyl
confirmatory::P01086	confirmatory	negative	P01086	PF00234.27	Tryp_alpha_amyl
confirmatory::P01087	confirmatory	negative	P01087	PF00234.27	Tryp_alpha_amyl
confirmatory::P01087	confirmatory	negative	P01087	PF13016.11	Gliadin
confirmatory::P01088	confirmatory	negative	P01088	PF00234.27	Tryp_alpha_amyl
confirmatory::P01089	confirmatory	negative	P01089	PF00234.27	Tryp_alpha_amyl
confirmatory::P01089	confirmatory	negative	P01089	PF00234.27	Tryp_alpha_amyl
confirmatory::P01090	confirmatory	negative	P01090	PF00234.27	Tryp_alpha_amyl
confirmatory::P01091	confirmatory	negative	P01091	PF00234.27	Tryp_alpha_amyl
confirmatory::P01128	confirmatory	negative	P01128	PF00341.22	PDGF
confirmatory::P01128	confirmatory	negative	P01128	PF04692.18	PDGF_N
confirmatory::P01129	confirmatory	negative	P01129	PF00023.35	Ank
confirmatory::P01129	confirmatory	negative	P01129	PF04383.18	KilA-N
confirmatory::P01160	confirmatory	negative	P01160	PF00212.23	ANP
confirmatory::P01161	confirmatory	negative	P01161	PF00212.23	ANP
confirmatory::P01222	confirmatory	negative	P01222	PF00007.27	Cys_knot
confirmatory::P01224	confirmatory	negative	P01224	PF00007.27	Cys_knot
confirmatory::P01225	confirmatory	negative	P01225	PF00007.27	Cys_knot
confirmatory::P01226	confirmatory	negative	P01226	PF00007.27	Cys_knot
confirmatory::P01227	confirmatory	negative	P01227	PF00007.27	Cys_knot
confirmatory::P01228	confirmatory	negative	P01228	PF00007.27	Cys_knot
confirmatory::P01229	confirmatory	negative	P01229	PF00007.27	Cys_knot
confirmatory::P01230	confirmatory	negative	P01230	PF00007.27	Cys_knot
confirmatory::P01231	confirmatory	negative	P01231	PF00007.27	Cys_knot
confirmatory::P01232	confirmatory	negative	P01232	PF00007.27	Cys_knot
confirmatory::P01235	confirmatory	negative	P01235	PF00007.27	Cys_knot
confirmatory::P01272	confirmatory	negative	P01272	PF00123.25	Hormone_2
confirmatory::P01272	confirmatory	negative	P01272	PF00123.25	Hormone_2
confirmatory::P01272	confirmatory	negative	P01272	PF00123.25	Hormone_2
confirmatory::P01273	confirmatory	negative	P01273	PF00123.25	Hormone_2
confirmatory::P01273	confirmatory	negative	P01273	PF00123.25	Hormone_2
confirmatory::P01273	confirmatory	negative	P01273	PF00123.25	Hormone_2
confirmatory::P01274	confirmatory	negative	P01274	PF00123.25	Hormone_2
confirmatory::P01274	confirmatory	negative	P01274	PF00123.25	Hormone_2
confirmatory::P01274	confirmatory	negative	P01274	PF00123.25	Hormone_2
confirmatory::P01275	confirmatory	negative	P01275	PF00123.25	Hormone_2
confirmatory::P01275	confirmatory	negative	P01275	PF00123.25	Hormone_2
confirmatory::P01275	confirmatory	negative	P01275	PF00123.25	Hormone_2
confirmatory::P01278	confirmatory	negative	P01278	PF00123.25	Hormone_2
confirmatory::P01278	confirmatory	negative	P01278	PF00123.25	Hormone_2
confirmatory::P01280	confirmatory	negative	P01280	PF00123.25	Hormone_2
confirmatory::P01281	confirmatory	negative	P01281	PF00123.25	Hormone_2
confirmatory::P01284	confirmatory	negative	P01284	PF00123.25	Hormone_2
confirmatory::P01284	confirmatory	negative	P01284	PF00123.25	Hormone_2
confirmatory::P01286	confirmatory	negative	P01286	PF00123.25	Hormone_2
confirmatory::P01287	confirmatory	negative	P01287	PF00123.25	Hormone_2
confirmatory::P01298	confirmatory	negative	P01298	PF00159.23	Hormone_3
confirmatory::P01299	confirmatory	negative	P01299	PF00159.23	Hormone_3
confirmatory::P01300	confirmatory	negative	P01300	PF00159.23	Hormone_3
confirmatory::P01301	confirmatory	negative	P01301	PF00159.23	Hormone_3
confirmatory::P01302	confirmatory	negative	P01302	PF00159.23	Hormone_3
confirmatory::P01304	confirmatory	negative	P01304	PF00159.23	Hormone_3
confirmatory::P01308	confirmatory	negative	P01308	PF00049.23	Insulin
confirmatory::P01310	confirmatory	negative	P01310	PF00049.23	Insulin
confirmatory::P01311	confirmatory	negative	P01311	PF00049.23	Insulin
confirmatory::P01313	confirmatory	negative	P01313	PF00049.23	Insulin
confirmatory::P01314	confirmatory	negative	P01314	PF00049.23	Insulin
confirmatory::P01314	confirmatory	negative	P01314	PF00049.23	Insulin
confirmatory::P01315	confirmatory	negative	P01315	PF00049.23	Insulin
confirmatory::P01316	confirmatory	negative	P01316	PF00049.23	Insulin
confirmatory::P01316	confirmatory	negative	P01316	PF00049.23	Insulin
confirmatory::P01317	confirmatory	negative	P01317	PF00049.23	Insulin
confirmatory::P01318	confirmatory	negative	P01318	PF00049.23	Insulin
confirmatory::P01319	confirmatory	negative	P01319	PF00049.23	Insulin
confirmatory::P01319	confirmatory	negative	P01319	PF00049.23	Insulin
confirmatory::P01320	confirmatory	negative	P01320	PF00049.23	Insulin
confirmatory::P01320	confirmatory	negative	P01320	PF00049.23	Insulin
confirmatory::P01322	confirmatory	negative	P01322	PF00049.23	Insulin
confirmatory::P01323	confirmatory	negative	P01323	PF00049.23	Insulin
confirmatory::P01324	confirmatory	negative	P01324	PF00049.23	Insulin
confirmatory::P01324	confirmatory	negative	P01324	PF00049.23	Insulin
confirmatory::P01325	confirmatory	negative	P01325	PF00049.23	Insulin
confirmatory::P01326	confirmatory	negative	P01326	PF00049.23	Insulin
confirmatory::P01327	confirmatory	negative	P01327	PF00049.23	Insulin
confirmatory::P01329	confirmatory	negative	P01329	PF00049.23	Insulin
confirmatory::P01330	confirmatory	negative	P01330	PF00049.23	Insulin
confirmatory::P01330	confirmatory	negative	P01330	PF00049.23	Insulin
confirmatory::P01330	confirmatory	negative	P01330	PF03488.19	Ins_beta
confirmatory::P01331	confirmatory	negative	P01331	PF00049.23	Insulin
confirmatory::P01331	confirmatory	negative	P01331	PF00049.23	Insulin
confirmatory::P01331	confirmatory	negative	P01331	PF03488.19	Ins_beta
confirmatory::P01333	confirmatory	negative	P01333	PF00049.23	Insulin
confirmatory::P01334	confirmatory	negative	P01334	PF00049.23	Insulin
confirmatory::P01334	confirmatory	negative	P01334	PF00049.23	Insulin
confirmatory::P01334	confirmatory	negative	P01334	PF03488.19	Ins_beta
confirmatory::P01338	confirmatory	negative	P01338	PF00049.23	Insulin
confirmatory::P01338	confirmatory	negative	P01338	PF00049.23	Insulin
confirmatory::P01338	confirmatory	negative	P01338	PF03488.19	Ins_beta
confirmatory::P01339	confirmatory	negative	P01339	PF00049.23	Insulin
confirmatory::P01339	confirmatory	negative	P01339	PF00049.23	Insulin
confirmatory::P01339	confirmatory	negative	P01339	PF03488.19	Ins_beta
confirmatory::P01340	confirmatory	negative	P01340	PF00049.23	Insulin
confirmatory::P01340	confirmatory	negative	P01340	PF00049.23	Insulin
confirmatory::P01340	confirmatory	negative	P01340	PF03488.19	Ins_beta
confirmatory::P01342	confirmatory	negative	P01342	PF00049.23	Insulin
confirmatory::P01344	confirmatory	negative	P01344	PF00049.23	Insulin
confirmatory::P01344	confirmatory	negative	P01344	PF00049.23	Insulin
confirmatory::P01344	confirmatory	negative	P01344	PF08365.16	IGF2_C
confirmatory::P01346	confirmatory	negative	P01346	PF00049.23	Insulin
confirmatory::P01346	confirmatory	negative	P01346	PF00049.23	Insulin
confirmatory::P01346	confirmatory	negative	P01346	PF08365.16	IGF2_C
confirmatory::P01347	confirmatory	negative	P01347	PF00049.23	Insulin
confirmatory::P01348	confirmatory	negative	P01348	PF00049.23	Insulin
confirmatory::P01526	confirmatory	positive	P01526	PF07822.16	Toxin_13
confirmatory::P01558	confirmatory	positive	P01558	PF03505.19	Clenterotox
confirmatory::P02671	confirmatory	negative	P02671	PF00147.23	Fibrinogen_C
confirmatory::P02671	confirmatory	negative	P02671	PF08702.15	Fib_alpha
confirmatory::P02671	confirmatory	negative	P02671	PF12160.13	Fibrinogen_aC
confirmatory::P02676	confirmatory	negative	P02676	PF00147.23	Fibrinogen_C
confirmatory::P02676	confirmatory	negative	P02676	PF08702.15	Fib_alpha
confirmatory::P02678	confirmatory	negative	P02678	PF00147.23	Fibrinogen_C
confirmatory::P02678	confirmatory	negative	P02678	PF08702.15	Fib_alpha
confirmatory::P02679	confirmatory	negative	P02679	PF00147.23	Fibrinogen_C
confirmatory::P02679	confirmatory	negative	P02679	PF08702.15	Fib_alpha
confirmatory::P02689	confirmatory	negative	P02689	PF00061.28	Lipocalin
confirmatory::P02690	confirmatory	negative	P02690	PF00061.28	Lipocalin
confirmatory::P02691	confirmatory	negative	P02691	PF00061.28	Lipocalin
confirmatory::P02693	confirmatory	negative	P02693	PF00061.28	Lipocalin
confirmatory::P02693	confirmatory	negative	P02693	PF14651.11	Lipocalin_7
confirmatory::P02694	confirmatory	negative	P02694	PF00061.28	Lipocalin
confirmatory::P02696	confirmatory	negative	P02696	PF00061.28	Lipocalin
confirmatory::P02748	confirmatory	negative	P02748	PF00057.23	Ldl_recept_a
confirmatory::P02748	confirmatory	negative	P02748	PF00090.24	TSP_1
confirmatory::P02748	confirmatory	negative	P02748	PF01823.24	MACPF
confirmatory::P02753	confirmatory	negative	P02753	PF00061.28	Lipocalin
confirmatory::P02753	confirmatory	negative	P02753	PF08212.17	Lipocalin_2
confirmatory::P02754	confirmatory	negative	P02754	PF00061.28	Lipocalin
confirmatory::P02755	confirmatory	negative	P02755	PF00061.28	Lipocalin
confirmatory::P02756	confirmatory	negative	P02756	PF00061.28	Lipocalin
confirmatory::P02758	confirmatory	negative	P02758	PF00061.28	Lipocalin
confirmatory::P02761	confirmatory	negative	P02761	PF00061.28	Lipocalin
confirmatory::P02762	confirmatory	negative	P02762	PF00061.28	Lipocalin
confirmatory::P02763	confirmatory	negative	P02763	PF00061.28	Lipocalin
confirmatory::P02764	confirmatory	negative	P02764	PF00061.28	Lipocalin
confirmatory::P02765	confirmatory	negative	P02765	PF00031.26	Cystatin
confirmatory::P02843	confirmatory	negative	P02843	PF00151.24	Lipase
confirmatory::P02844	confirmatory	negative	P02844	PF00151.24	Lipase
confirmatory::P02868	confirmatory	negative	P02868	PF00139.25	Lectin_legB
confirmatory::P02876	confirmatory	negative	P02876	PF00187.24	Chitin_bind_1
confirmatory::P02876	confirmatory	negative	P02876	PF00187.24	Chitin_bind_1
confirmatory::P02876	confirmatory	negative	P02876	PF00187.24	Chitin_bind_1
confirmatory::P02876	confirmatory	negative	P02876	PF00187.24	Chitin_bind_1
confirmatory::P02877	confirmatory	negative	P02877	PF00187.24	Chitin_bind_1
confirmatory::P02877	confirmatory	negative	P02877	PF00967.22	Barwin
confirmatory::P02893	confirmatory	negative	P02893	PF00090.24	TSP_1
confirmatory::P02893	confirmatory	negative	P02893	PF19035.5	TSP1_CCN
confirmatory::P02894	confirmatory	negative	P02894	PF00090.24	TSP_1
confirmatory::P03956	confirmatory	negative	P03956	PF00045.24	Hemopexin
confirmatory::P03956	confirmatory	negative	P03956	PF00045.24	Hemopexin
confirmatory::P03956	confirmatory	negative	P03956	PF00045.24	Hemopexin
confirmatory::P03956	confirmatory	negative	P03956	PF00045.24	Hemopexin
confirmatory::P03956	confirmatory	negative	P03956	PF00413.29	Peptidase_M10
confirmatory::P03956	confirmatory	negative	P03956	PF01471.23	PG_binding_1
confirmatory::P03957	confirmatory	negative	P03957	PF00045.24	Hemopexin
confirmatory::P03957	confirmatory	negative	P03957	PF00045.24	Hemopexin
confirmatory::P03957	confirmatory	negative	P03957	PF00045.24	Hemopexin
confirmatory::P03957	confirmatory	negative	P03957	PF00045.24	Hemopexin
confirmatory::P03957	confirmatory	negative	P03957	PF00413.29	Peptidase_M10
confirmatory::P03957	confirmatory	negative	P03957	PF01471.23	PG_binding_1
confirmatory::P03974	confirmatory	negative	P03974	PF00004.34	AAA
confirmatory::P03974	confirmatory	negative	P03974	PF00004.34	AAA
confirmatory::P03974	confirmatory	negative	P03974	PF02359.23	CDC48_N
confirmatory::P03974	confirmatory	negative	P03974	PF02933.22	CDC48_2
confirmatory::P03974	confirmatory	negative	P03974	PF07728.19	AAA_5
confirmatory::P03974	confirmatory	negative	P03974	PF17862.6	AAA_lid_3
confirmatory::P03974	confirmatory	negative	P03974	PF17862.6	AAA_lid_3
confirmatory::P04072	confirmatory	negative	P04072	PF00082.27	Peptidase_S8
confirmatory::P04080	confirmatory	negative	P04080	PF00031.26	Cystatin
confirmatory::P04085	confirmatory	negative	P04085	PF00341.22	PDGF
confirmatory::P04085	confirmatory	negative	P04085	PF04692.18	PDGF_N
confirmatory::P04090	confirmatory	negative	P04090	PF00049.23	Insulin
